Label,Notation,Parent Notation,Sort Priority,Description,Same As
"1,1,1-Trifluoroethane (HFC-143a)",HFC-143a,HFC,13,"1,1,1-Trifluoroethane, or R-143a or simply trifluoroethane, is a hydrofluorocarbon (HFC) compound that is a colorless gas. It should not be confused with the much more commonly used HFC gas R-134a, nor confused with the isomeric compound 1,1,2-trifluoroethane. 1,1,1-Trifluoroethane has a critical temperature of 73 °C.","http://dbpedia.org/resource/1,1,1-Trifluoroethane"
"1,1-Difluoroethane (HFC-152a)",HFC-152a,HFC,14,"1,1-Difluoroethane, or DFE, is an organofluorine compound with the chemical formula C2H4F2. This colorless gas is used as a refrigerant, where it is often listed as R-152a (refrigerant-152a) or HFC-152a (hydrofluorocarbon-152a). It is also used as a propellant for aerosol sprays and in gas duster products. As an alternative to chlorofluorocarbons, it has an ozone depletion potential of zero, a lower global warming potential (124) and a shorter atmospheric lifetime (1.4 years).","https://dbpedia.org/page/1,1-Difluoroethane"
"1,1,1,2,3,3,3-Heptafluoropropane (HFC-227ea)",HFC-227ea,HFC,15,"1,1,1,2,3,3,3-Heptafluoropropane, also called heptafluoropropane, HFC-227ea (ISO name), HFC-227 or FM-200, as well as apaflurane (INN), is a colourless, odourless gaseous halocarbon commonly used as a gaseous fire suppression agent.","http://dbpedia.org/resource/1,1,1,2,3,3,3-Heptafluoropropane"
Fluoroform (HFC-23),HFC-23,HFC,16,"Trifluoromethane or fluoroform is the chemical compound with the formula CHF3. It is one of the 'haloforms', a class of compounds with the formula CHX3 (X = halogen) with C3v symmetry. Fluoroform is used in diverse applications in organic synthesis. It is not an ozone depleter but is a greenhouse gas",http://dbpedia.org/resource/Fluoroform
Pentafluoropropane (HFC-245fa),HFC-245fa,HFC,17,"1,1,1,3,3-Pentafluoropropane (HFC-245fa) is a hydrofluorocarbon is a colorless gas used primarily for closed-cell spray foam insulation. HFC-245fa is also known as pentafluoropropane and by its chemical name 1,1,1,3,3-pentafluoropropane.",http://dbpedia.org/resource/Pentafluoropropane
Difluoromethane (HFC-32),HFC-32,HFC,18,"Difluoromethane, also called difluoromethylene, HFC-32 Methylene Fluoride or R-32, is an organic compound of the dihalogenoalkane variety. It has the formula of CH2F2. It is a colorless gas in the ambient atmosphere and is slightly soluble in the water, with a high thermal stability. Due to the low melting and boiling point, (-136.0 °C and -51.6 °C respectively) contact with this compound may result in frostbite. In the United States, the Clean Air Act Section 111 on Volatile Organic Compounds (VOC) has listed difluoromethane as an exception (since 1997) from the definition of VOC due to its low production of tropospheric ozone. Difluoromethane is commonly used in endothermic processes such as refrigeration or air conditioning.",http://dbpedia.org/resource/Difluoromethane
"1,1,1,3,3-Pentafluorobutane (HFC-365mfc)",HFC-365mfc,HFC,19,
"1,1,1,2,2,3,4,5,5,5-Decafluoropentane (HFC-43-10mee)",HFC-43-10mee,HFC,20,
Hexafluoroethane (C2F6),C2F6,PFC,21,"Hexafluoroethane is the perfluorocarbon counterpart to the hydrocarbon ethane. It is a non-flammable gas negligibly soluble in water and slightly soluble in alcohol. It is an extremely potent and long-lived greenhouse gas.",https://dbpedia.org/page/Hexafluoroethane
Octafluoropropane (C3F8),C3F8,PFC,22,"Octafluoropropane (C3F8) is the perfluorocarbon counterpart to the hydrocarbon propane. This non-flammable synthetic material has applications in semiconductor production and medicine. It is also an extremely potent greenhouse gas",https://dbpedia.org/page/Octafluoropropane
Perfluorobutane (PFB),C4F10,PFC,23,"Perfluorobutane (PFB) is an inert, high-density colorless gas. It is a simple fluorocarbon with a n-butane skeleton and all the hydrogen atoms replaced with fluorine atoms.",http://dbpedia.org/resource/Perfluorobutane
Octafluorocyclobutane (C4F8),C4F8,PFC,24,"Octafluorocyclobutane, or perfluorocyclobutane, C4F8, is an organofluorine compound which enjoys several niche applications. Octafluorocyclobutane is a colourless gas and shipped as a liquefied gas. It is the perfluorinated analogue of cyclobutane whereby all C–H bonds are replaced with C–F bonds.",http://dbpedia.org/resource/Octafluorocyclobutane
Tetrafluoromethane (CF4),CF4,PFC,25,"Tetrafluoromethane, also known as carbon tetrafluoride or R-14, is the simplest perfluorocarbon (CF4). As its IUPAC name indicates, tetrafluoromethane is the perfluorinated counterpart to the hydrocarbon methane. It can also be classified as a haloalkane or halomethane. Tetrafluoromethane is a useful refrigerant but also a potent greenhouse gas. It has a very high bond strength due to the nature of the carbon–fluorine bond.",https://dbpedia.org/page/Carbon_tetrafluoride
PFC_C_Equiv_AR4,PFC_C_Equiv_AR4,PFC,26,
