Year,Geography,Value
1989,uk,1045.1
1990,uk,1203.7
1991,uk,1024.7
1992,uk,1217.4
1993,uk,1149.7
1994,uk,1216.5
1995,uk,1050.3
1996,uk,935.2
1997,uk,1048.7
1998,uk,1298.4
1999,uk,1271.8
2000,uk,1372.5
2001,uk,1049.3
2002,uk,1280.3
2003,uk,900.1
2004,uk,1208.9
2005,uk,1079.7
2006,uk,1173.2
2007,uk,1195.7
2008,uk,1293.2
2009,uk,1208.1
2010,uk,945.4
2011,uk,1162.6
2012,uk,1329.6
2013,uk,1084
2014,uk,1292.8
2015,uk,1265.3
2016,uk,1096.5
2017,uk,1118.4
2018,uk,1053.5
2019,uk,1232.2
2020,uk,1333.8
2021,uk,1104.2
1836,england,885.1
1837,england,746.4
1838,england,756.8
1839,england,919.5
1840,england,688
1841,england,964.8
1842,england,730.8
1843,england,833.3
1844,england,650.2
1845,england,798.3
1846,england,822.1
1847,england,741
1848,england,1007.6
1849,england,783
1850,england,701.9
1851,england,709.7
1852,england,1052.7
1853,england,781.3
1854,england,627.5
1855,england,660.5
1856,england,775.1
1857,england,737.1
1858,england,652.2
1859,england,814.6
1860,england,962.3
1861,england,753.8
1862,england,826.5
1863,england,770.4
1864,england,628.8
1865,england,821.8
1866,england,941.9
1867,england,795.6
1868,england,822.5
1869,england,840.2
1870,england,652.9
1871,england,776.8
1872,england,1156.8
1873,england,722.6
1874,england,748.2
1875,england,915.3
1876,england,936.6
1877,england,1008.3
1878,england,871.2
1879,england,866
1880,england,906.1
1881,england,868.2
1882,england,1015.5
1883,england,870
1884,england,694.4
1885,england,805.2
1886,england,912.6
1887,england,596.8
1888,england,781.1
1889,england,749.3
1890,england,725.9
1891,england,901.2
1892,england,755.6
1893,england,673.8
1894,england,869.2
1895,england,769.2
1896,england,750
1897,england,809.1
1898,england,694.4
1899,england,756
1900,england,873.1
1901,england,694.2
1902,england,674.6
1903,england,1042.2
1904,england,715.8
1905,england,675.2
1906,england,807.4
1907,england,809
1908,england,717.1
1909,england,846.4
1910,england,899.7
1911,england,761.5
1912,england,1003.6
1913,england,771.5
1914,england,869.9
1915,england,886.1
1916,england,927.5
1917,england,785.3
1918,england,858.2
1919,england,837.1
1920,england,844.1
1921,england,560.1
1922,england,842.1
1923,england,894.2
1924,england,956.2
1925,england,848
1926,england,813.1
1927,england,983.5
1928,england,912.2
1929,england,796.1
1930,england,933.9
1931,england,881.2
1932,england,824.3
1933,england,651.2
1934,england,758.5
1935,england,903.6
1936,england,869.7
1937,england,875.9
1938,england,805.1
1939,england,913.7
1940,england,809.4
1941,england,770.1
1942,england,752.6
1943,england,749.5
1944,england,814.6
1945,england,744.3
1946,england,955.2
1947,england,727.7
1948,england,857.7
1949,england,712.1
1950,england,909.5
1951,england,987.7
1952,england,795.5
1953,england,678.6
1954,england,984.9
1955,england,695.4
1956,england,783.8
1957,england,811.8
1958,england,937.8
1959,england,732.2
1960,england,1062.4
1961,england,803.9
1962,england,730.8
1963,england,791.7
1964,england,653.6
1965,england,918.8
1966,england,949.3
1967,england,908.9
1968,england,903.3
1969,england,821.7
1970,england,833
1971,england,732.1
1972,england,779.5
1973,england,666.7
1974,england,919.8
1975,england,688.3
1976,england,731.7
1977,england,846.8
1978,england,817.4
1979,england,905.7
1980,england,885.3
1981,england,911.8
1982,england,878.1
1983,england,800.5
1984,england,834.1
1985,england,809.2
1986,england,905.5
1987,england,846.7
1988,england,842.2
1989,england,736.7
1990,england,755.2
1991,england,719
1992,england,873.8
1993,england,903.8
1994,england,913.9
1995,england,751.8
1996,england,676.8
1997,england,783.1
1998,england,966.5
1999,england,935.5
2000,england,1109.1
2001,england,862.5
2002,england,1006.4
2003,england,674.2
2004,england,890.4
2005,england,745.7
2006,england,845.1
2007,england,933.3
2008,england,981.4
2009,england,874.6
2010,england,726.4
2011,england,712.7
2012,england,1125.9
2013,england,813
2014,england,983.4
2015,england,867
2016,england,822.9
2017,england,825.2
2018,england,795.2
2019,england,979.2
2020,england,989.6
2021,england,876.5
1836,wales,1438.4
1837,wales,1227.2
1838,wales,1258.9
1839,wales,1541.8
1840,wales,1190.7
1841,wales,1621.3
1842,wales,1242.2
1843,wales,1271
1844,wales,949.1
1845,wales,1205.8
1846,wales,1250.1
1847,wales,1298.1
1848,wales,1527.2
1849,wales,1199.2
1850,wales,1079.7
1851,wales,1180.7
1852,wales,1754.8
1853,wales,1147.7
1854,wales,998.3
1855,wales,936.1
1856,wales,1195.7
1857,wales,1175.5
1858,wales,1089.9
1859,wales,1398.1
1860,wales,1523.5
1861,wales,1292.7
1862,wales,1346
1863,wales,1286.2
1864,wales,1019.6
1865,wales,1212.4
1866,wales,1436.1
1867,wales,1254.8
1868,wales,1327.3
1869,wales,1399.3
1870,wales,1160.9
1871,wales,1229.8
1872,wales,1991.6
1873,wales,1192.1
1874,wales,1373.4
1875,wales,1439
1876,wales,1475.2
1877,wales,1722.2
1878,wales,1339.5
1879,wales,1327.4
1880,wales,1345.2
1881,wales,1296.8
1882,wales,1703.3
1883,wales,1406.3
1884,wales,1305.3
1885,wales,1328.8
1886,wales,1548.1
1887,wales,966.3
1888,wales,1256.2
1889,wales,1111.2
1890,wales,1182.5
1891,wales,1524.3
1892,wales,1098.8
1893,wales,1116.8
1894,wales,1419
1895,wales,1169.2
1896,wales,1183.5
1897,wales,1383.1
1898,wales,1244.7
1899,wales,1236.7
1900,wales,1399.1
1901,wales,1193.5
1902,wales,1075.1
1903,wales,1767.1
1904,wales,1180.6
1905,wales,1115.7
1906,wales,1326.3
1907,wales,1296.8
1908,wales,1271.2
1909,wales,1274.2
1910,wales,1517.4
1911,wales,1290.2
1912,wales,1548.3
1913,wales,1416.2
1914,wales,1447
1915,wales,1343.4
1916,wales,1381.3
1917,wales,1252.5
1918,wales,1487.1
1919,wales,1276.2
1920,wales,1622.8
1921,wales,1075.4
1922,wales,1310.1
1923,wales,1571
1924,wales,1571.9
1925,wales,1371.2
1926,wales,1300.5
1927,wales,1573.2
1928,wales,1655.9
1929,wales,1445.4
1930,wales,1576.5
1931,wales,1454.7
1932,wales,1377.9
1933,wales,994.1
1934,wales,1293.3
1935,wales,1416
1936,wales,1399.3
1937,wales,1194.7
1938,wales,1421.1
1939,wales,1462.1
1940,wales,1303.3
1941,wales,1126.7
1942,wales,1267.6
1943,wales,1381.2
1944,wales,1333.8
1945,wales,1268.8
1946,wales,1576.3
1947,wales,1254.3
1948,wales,1559.1
1949,wales,1238.5
1950,wales,1568.8
1951,wales,1546.3
1952,wales,1299.8
1953,wales,1190.9
1954,wales,1772.5
1955,wales,1158.6
1956,wales,1190.9
1957,wales,1485.5
1958,wales,1499.2
1959,wales,1369.1
1960,wales,1734.2
1961,wales,1364.1
1962,wales,1259.5
1963,wales,1234.1
1964,wales,1116
1965,wales,1497
1966,wales,1508.2
1967,wales,1593.5
1968,wales,1365.9
1969,wales,1271.8
1970,wales,1472.3
1971,wales,1191.8
1972,wales,1413.1
1973,wales,1147.1
1974,wales,1613.4
1975,wales,1122.7
1976,wales,1126.1
1977,wales,1462.7
1978,wales,1277.3
1979,wales,1494.8
1980,wales,1460.5
1981,wales,1538.9
1982,wales,1548.4
1983,wales,1410
1984,wales,1333.8
1985,wales,1408.3
1986,wales,1568.6
1987,wales,1362.3
1988,wales,1480.6
1989,wales,1348.3
1990,wales,1390.1
1991,wales,1296.5
1992,wales,1469.4
1993,wales,1428.2
1994,wales,1634
1995,wales,1248.7
1996,wales,1196.2
1997,wales,1311.7
1998,wales,1714.3
1999,wales,1640
2000,wales,1885.3
2001,wales,1349.5
2002,wales,1627.9
2003,wales,1139.4
2004,wales,1487.7
2005,wales,1303.5
2006,wales,1470.2
2007,wales,1486.2
2008,wales,1665.1
2009,wales,1497
2010,wales,1128.9
2011,wales,1288.6
2012,wales,1702.5
2013,wales,1343.1
2014,wales,1551.6
2015,wales,1569.4
2016,wales,1371.1
2017,wales,1413.3
2018,wales,1369.2
2019,wales,1603.6
2020,wales,1746.9
2021,wales,1489.6
1836,scotland,1504.1
1837,scotland,1135.3
1838,scotland,1173.3
1839,scotland,1198.7
1840,scotland,1132.3
1841,scotland,1273.4
1842,scotland,1138.8
1843,scotland,1208.9
1844,scotland,1078.6
1845,scotland,1337.8
1846,scotland,1403.1
1847,scotland,1247.7
1848,scotland,1389.3
1849,scotland,1242.7
1850,scotland,1300.9
1851,scotland,1141.7
1852,scotland,1452
1853,scotland,1160.1
1854,scotland,1332.6
1855,scotland,953.8
1856,scotland,1146.7
1857,scotland,1158.8
1858,scotland,1191.2
1859,scotland,1351.7
1860,scotland,1243.5
1861,scotland,1488.4
1862,scotland,1480.5
1863,scotland,1565.6
1864,scotland,1348.6
1865,scotland,1152.6
1866,scotland,1495.8
1867,scotland,1327.2
1868,scotland,1657.1
1869,scotland,1364.6
1870,scotland,1089
1871,scotland,1250.4
1872,scotland,1765.1
1873,scotland,1413.5
1874,scotland,1470.4
1875,scotland,1308.7
1876,scotland,1409
1877,scotland,1746.3
1878,scotland,1246.7
1879,scotland,1188.4
1880,scotland,1183.5
1881,scotland,1273.1
1882,scotland,1523.5
1883,scotland,1459.7
1884,scotland,1473.1
1885,scotland,1299.3
1886,scotland,1271.1
1887,scotland,1117.4
1888,scotland,1272.7
1889,scotland,1168.2
1890,scotland,1440.9
1891,scotland,1364.4
1892,scotland,1306.8
1893,scotland,1343.6
1894,scotland,1414.1
1895,scotland,1222.4
1896,scotland,1322.6
1897,scotland,1302.3
1898,scotland,1506.6
1899,scotland,1383.6
1900,scotland,1536
1901,scotland,1220.8
1902,scotland,1156.1
1903,scotland,1748.8
1904,scotland,1306.8
1905,scotland,1305.2
1906,scotland,1442.5
1907,scotland,1355
1908,scotland,1317
1909,scotland,1289.9
1910,scotland,1405.9
1911,scotland,1366.4
1912,scotland,1491.9
1913,scotland,1298.5
1914,scotland,1408.8
1915,scotland,1252.2
1916,scotland,1548.6
1917,scotland,1334.2
1918,scotland,1430.4
1919,scotland,1248.4
1920,scotland,1462.3
1921,scotland,1386.6
1922,scotland,1279.7
1923,scotland,1615.7
1924,scotland,1387.1
1925,scotland,1324.2
1926,scotland,1479.4
1927,scotland,1482.4
1928,scotland,1658.6
1929,scotland,1355.9
1930,scotland,1448.9
1931,scotland,1377.6
1932,scotland,1459.9
1933,scotland,1097.3
1934,scotland,1500.6
1935,scotland,1459.9
1936,scotland,1258.1
1937,scotland,1154.3
1938,scotland,1733.3
1939,scotland,1278
1940,scotland,1303.4
1941,scotland,1156.6
1942,scotland,1372.1
1943,scotland,1507.7
1944,scotland,1436.7
1945,scotland,1346.3
1946,scotland,1358.2
1947,scotland,1290
1948,scotland,1660.8
1949,scotland,1509.8
1950,scotland,1542
1951,scotland,1437.1
1952,scotland,1271.5
1953,scotland,1317.7
1954,scotland,1685.6
1955,scotland,1101.7
1956,scotland,1399.4
1957,scotland,1444
1958,scotland,1303.6
1959,scotland,1316
1960,scotland,1291.2
1961,scotland,1467.2
1962,scotland,1472.5
1963,scotland,1272.7
1964,scotland,1293.7
1965,scotland,1406
1966,scotland,1485.9
1967,scotland,1594
1968,scotland,1272.1
1969,scotland,1233.8
1970,scotland,1503.5
1971,scotland,1212.5
1972,scotland,1208.6
1973,scotland,1302.5
1974,scotland,1512.3
1975,scotland,1270.7
1976,scotland,1324.1
1977,scotland,1441
1978,scotland,1402.7
1979,scotland,1532.2
1980,scotland,1519.2
1981,scotland,1528.7
1982,scotland,1646.9
1983,scotland,1495.3
1984,scotland,1456.3
1985,scotland,1503.5
1986,scotland,1636.7
1987,scotland,1350.8
1988,scotland,1593.5
1989,scotland,1489.3
1990,scotland,1892.1
1991,scotland,1461.2
1992,scotland,1731.6
1993,scotland,1484.3
1994,scotland,1621.4
1995,scotland,1492.9
1996,scotland,1270.2
1997,scotland,1423.4
1998,scotland,1747.9
1999,scotland,1739.7
2000,scotland,1700.3
2001,scotland,1308.1
2002,scotland,1620.7
2003,scotland,1207.2
2004,scotland,1687.9
2005,scotland,1578.8
2006,scotland,1644
2007,scotland,1575.8
2008,scotland,1717.8
2009,scotland,1678.7
2010,scotland,1244.2
2011,scotland,1862.7
2012,scotland,1596.2
2013,scotland,1458
2014,scotland,1739.7
2015,scotland,1840.1
2016,scotland,1488.4
2017,scotland,1522.9
2018,scotland,1395.4
2019,scotland,1558.9
2020,scotland,1800.9
2021,scotland,1390
1836,northern-ireland,775.6
1837,northern-ireland,685.8
1838,northern-ireland,823.3
1839,northern-ireland,958.7
1840,northern-ireland,963.9
1841,northern-ireland,986.5
1842,northern-ireland,1082.6
1843,northern-ireland,1124.6
1844,northern-ireland,924.6
1845,northern-ireland,1111.3
1846,northern-ireland,1068.4
1847,northern-ireland,933.5
1848,northern-ireland,1130.7
1849,northern-ireland,1152.7
1850,northern-ireland,1101.8
1851,northern-ireland,981.5
1852,northern-ireland,1269.2
1853,northern-ireland,909.1
1854,northern-ireland,917.8
1855,northern-ireland,805.9
1856,northern-ireland,799.7
1857,northern-ireland,843.5
1858,northern-ireland,883.6
1859,northern-ireland,899.7
1860,northern-ireland,1041.3
1861,northern-ireland,1089.7
1862,northern-ireland,1109.5
1863,northern-ireland,1038
1864,northern-ireland,885.9
1865,northern-ireland,1020.8
1866,northern-ireland,1119.8
1867,northern-ireland,1091.5
1868,northern-ireland,1015.7
1869,northern-ireland,1015.2
1870,northern-ireland,961.1
1871,northern-ireland,985.9
1872,northern-ireland,1423.9
1873,northern-ireland,953.5
1874,northern-ireland,1008.5
1875,northern-ireland,1037.5
1876,northern-ireland,1183.4
1877,northern-ireland,1314.9
1878,northern-ireland,1020.7
1879,northern-ireland,1032.3
1880,northern-ireland,950.7
1881,northern-ireland,1048.3
1882,northern-ireland,1228
1883,northern-ireland,1140.3
1884,northern-ireland,1089.3
1885,northern-ireland,896.7
1886,northern-ireland,1134.9
1887,northern-ireland,791.3
1888,northern-ireland,1035.7
1889,northern-ireland,1043
1890,northern-ireland,1029.2
1891,northern-ireland,1018.2
1892,northern-ireland,1041.4
1893,northern-ireland,926.7
1894,northern-ireland,1070.1
1895,northern-ireland,983
1896,northern-ireland,1058
1897,northern-ireland,1165.8
1898,northern-ireland,1034.5
1899,northern-ireland,1095.4
1900,northern-ireland,1214.1
1901,northern-ireland,1062.6
1902,northern-ireland,999.6
1903,northern-ireland,1300.3
1904,northern-ireland,1042
1905,northern-ireland,960.7
1906,northern-ireland,1065.6
1907,northern-ireland,1100.2
1908,northern-ireland,1073.2
1909,northern-ireland,1016.8
1910,northern-ireland,1127.2
1911,northern-ireland,933.6
1912,northern-ireland,1209.8
1913,northern-ireland,1037.2
1914,northern-ireland,1033.7
1915,northern-ireland,998
1916,northern-ireland,1153.2
1917,northern-ireland,1133.6
1918,northern-ireland,1141.8
1919,northern-ireland,992.5
1920,northern-ireland,1173.1
1921,northern-ireland,948.9
1922,northern-ireland,1004.8
1923,northern-ireland,1244.7
1924,northern-ireland,1225.8
1925,northern-ireland,1056.7
1926,northern-ireland,1076.4
1927,northern-ireland,1069.2
1928,northern-ireland,1341.7
1929,northern-ireland,1097.5
1930,northern-ireland,1164.1
1931,northern-ireland,1167
1932,northern-ireland,1012.1
1933,northern-ireland,784.9
1934,northern-ireland,1112.2
1935,northern-ireland,1045.2
1936,northern-ireland,1122.5
1937,northern-ireland,1034.9
1938,northern-ireland,1199.8
1939,northern-ireland,1030.1
1940,northern-ireland,1147.8
1941,northern-ireland,966.6
1942,northern-ireland,1179.3
1943,northern-ireland,1097.2
1944,northern-ireland,1137
1945,northern-ireland,1030.3
1946,northern-ireland,1140.4
1947,northern-ireland,1101.7
1948,northern-ireland,1163.6
1949,northern-ireland,1031.2
1950,northern-ireland,1247.1
1951,northern-ireland,1088.8
1952,northern-ireland,946.1
1953,northern-ireland,852.8
1954,northern-ireland,1296.7
1955,northern-ireland,975.8
1956,northern-ireland,1043.8
1957,northern-ireland,1113.6
1958,northern-ireland,1204.3
1959,northern-ireland,965.5
1960,northern-ireland,1194.2
1961,northern-ireland,1102
1962,northern-ireland,1023.6
1963,northern-ireland,1084.7
1964,northern-ireland,999.5
1965,northern-ireland,1166.1
1966,northern-ireland,1265.9
1967,northern-ireland,1200.9
1968,northern-ireland,1078.4
1969,northern-ireland,994.5
1970,northern-ireland,1141.3
1971,northern-ireland,898.7
1972,northern-ireland,1036.3
1973,northern-ireland,961.6
1974,northern-ireland,1118.7
1975,northern-ireland,840.5
1976,northern-ireland,1045.1
1977,northern-ireland,1073.5
1978,northern-ireland,1116
1979,northern-ireland,1156
1980,northern-ireland,1176.2
1981,northern-ireland,1225.3
1982,northern-ireland,1166.5
1983,northern-ireland,961.5
1984,northern-ireland,1068.3
1985,northern-ireland,1133.7
1986,northern-ireland,1198.5
1987,northern-ireland,983
1988,northern-ireland,1242.2
1989,northern-ireland,989.9
1990,northern-ireland,1269
1991,northern-ireland,1035.1
1992,northern-ireland,1178
1993,northern-ireland,1155.7
1994,northern-ireland,1159.3
1995,northern-ireland,1071.1
1996,northern-ireland,1082.6
1997,northern-ireland,1044.7
1998,northern-ireland,1266.3
1999,northern-ireland,1255
2000,northern-ireland,1236.3
2001,northern-ireland,897.7
2002,northern-ireland,1410.1
2003,northern-ireland,937.1
2004,northern-ireland,1090.5
2005,northern-ireland,1073.5
2006,northern-ireland,1156.9
2007,northern-ireland,1094.5
2008,northern-ireland,1275.8
2009,northern-ireland,1257.1
2010,northern-ireland,1040.4
2011,northern-ireland,1261.6
2012,northern-ireland,1178
2013,northern-ireland,1134.4
2014,northern-ireland,1292.6
2015,northern-ireland,1319.1
2016,northern-ireland,1048.4
2017,northern-ireland,1147.9
2018,northern-ireland,1077.5
2019,northern-ireland,1209.7
2020,northern-ireland,1323.6
2021,northern-ireland,1053.3
1836,uk-trend,995.7
1837,uk-trend,993.9
1838,uk-trend,994
1839,uk-trend,995.3
1840,uk-trend,995.3
1841,uk-trend,995.6
1842,uk-trend,994.7
1843,uk-trend,993.3
1844,uk-trend,991.3
1845,uk-trend,990.7
1846,uk-trend,990.9
1847,uk-trend,990.3
1848,uk-trend,990.8
1849,uk-trend,989.7
1850,uk-trend,988
1851,uk-trend,987.2
1852,uk-trend,988.5
1853,uk-trend,987.2
1854,uk-trend,986.9
1855,uk-trend,988
1856,uk-trend,989.9
1857,uk-trend,992.8
1858,uk-trend,998.1
1859,uk-trend,1004.5
1860,uk-trend,1009.9
1861,uk-trend,1015
1862,uk-trend,1020.5
1863,uk-trend,1026.4
1864,uk-trend,1032.5
1865,uk-trend,1039.5
1866,uk-trend,1046.6
1867,uk-trend,1052
1868,uk-trend,1059.4
1869,uk-trend,1065.8
1870,uk-trend,1071.2
1871,uk-trend,1077.1
1872,uk-trend,1083.3
1873,uk-trend,1084.3
1874,uk-trend,1084.8
1875,uk-trend,1084.7
1876,uk-trend,1084.4
1877,uk-trend,1083.4
1878,uk-trend,1079.9
1879,uk-trend,1076.2
1880,uk-trend,1072.3
1881,uk-trend,1067.9
1882,uk-trend,1063.7
1883,uk-trend,1057.6
1884,uk-trend,1051.2
1885,uk-trend,1045
1886,uk-trend,1038.6
1887,uk-trend,1031
1888,uk-trend,1026.6
1889,uk-trend,1023.7
1890,uk-trend,1021.5
1891,uk-trend,1019.3
1892,uk-trend,1017.1
1893,uk-trend,1016.8
1894,uk-trend,1017
1895,uk-trend,1016.5
1896,uk-trend,1017.2
1897,uk-trend,1018.1
1898,uk-trend,1020.9
1899,uk-trend,1024
1900,uk-trend,1027.5
1901,uk-trend,1029.9
1902,uk-trend,1034.2
1903,uk-trend,1038.7
1904,uk-trend,1040.7
1905,uk-trend,1042.8
1906,uk-trend,1046.1
1907,uk-trend,1048.7
1908,uk-trend,1051.1
1909,uk-trend,1054.2
1910,uk-trend,1058.3
1911,uk-trend,1061.3
1912,uk-trend,1064.5
1913,uk-trend,1066.8
1914,uk-trend,1070.2
1915,uk-trend,1073
1916,uk-trend,1076.7
1917,uk-trend,1079.1
1918,uk-trend,1081.1
1919,uk-trend,1082.8
1920,uk-trend,1084.6
1921,uk-trend,1085.5
1922,uk-trend,1087.9
1923,uk-trend,1090.3
1924,uk-trend,1091.5
1925,uk-trend,1091.8
1926,uk-trend,1092.4
1927,uk-trend,1091.9
1928,uk-trend,1090.7
1929,uk-trend,1087.7
1930,uk-trend,1085.1
1931,uk-trend,1081.3
1932,uk-trend,1077.9
1933,uk-trend,1073.7
1934,uk-trend,1072.4
1935,uk-trend,1070.8
1936,uk-trend,1069.3
1937,uk-trend,1067.7
1938,uk-trend,1066.3
1939,uk-trend,1063.9
1940,uk-trend,1062.8
1941,uk-trend,1061.1
1942,uk-trend,1060.5
1943,uk-trend,1061
1944,uk-trend,1062.6
1945,uk-trend,1063.6
1946,uk-trend,1066.2
1947,uk-trend,1068.4
1948,uk-trend,1071.3
1949,uk-trend,1071.8
1950,uk-trend,1071.9
1951,uk-trend,1071.5
1952,uk-trend,1070.5
1953,uk-trend,1070.5
1954,uk-trend,1072.2
1955,uk-trend,1071.5
1956,uk-trend,1072.7
1957,uk-trend,1072.9
1958,uk-trend,1072.4
1959,uk-trend,1070.8
1960,uk-trend,1070.5
1961,uk-trend,1068.1
1962,uk-trend,1065.4
1963,uk-trend,1062.8
1964,uk-trend,1061.4
1965,uk-trend,1061.6
1966,uk-trend,1062.1
1967,uk-trend,1062.5
1968,uk-trend,1062
1969,uk-trend,1061
1970,uk-trend,1061.6
1971,uk-trend,1061.1
1972,uk-trend,1062.3
1973,uk-trend,1064.3
1974,uk-trend,1068.1
1975,uk-trend,1070.5
1976,uk-trend,1075.4
1977,uk-trend,1081
1978,uk-trend,1086.8
1979,uk-trend,1092.6
1980,uk-trend,1097.6
1981,uk-trend,1102
1982,uk-trend,1105.4
1983,uk-trend,1108.1
1984,uk-trend,1111.7
1985,uk-trend,1115.7
1986,uk-trend,1121
1987,uk-trend,1124.3
1988,uk-trend,1128.3
1989,uk-trend,1130.1
1990,uk-trend,1133.2
1991,uk-trend,1134.5
1992,uk-trend,1136.3
1993,uk-trend,1137.4
1994,uk-trend,1138.8
1995,uk-trend,1140
1996,uk-trend,1141.1
1997,uk-trend,1144.4
1998,uk-trend,1149.6
1999,uk-trend,1152.8
2000,uk-trend,1155.4
2001,uk-trend,1156.3
2002,uk-trend,1158.1
2003,uk-trend,1158.2
2004,uk-trend,1160.2
2005,uk-trend,1161.5
2006,uk-trend,1164.6
2007,uk-trend,1166.6
2008,uk-trend,1168.4
2009,uk-trend,1169.7
2010,uk-trend,1171.1
2011,uk-trend,1173.5
2012,uk-trend,1174.7
2013,uk-trend,1173.5
2014,uk-trend,1174.2
2015,uk-trend,1174.7
2016,uk-trend,1175
2017,uk-trend,1176
2018,uk-trend,1178
2019,uk-trend,1178.8
2020,uk-trend,1179.4
2021,uk-trend,1178.7
1836,england-trend,806.7
1837,england-trend,805.1
1838,england-trend,805
1839,england-trend,806.2
1840,england-trend,805.2
1841,england-trend,804.8
1842,england-trend,802.7
1843,england-trend,800.3
1844,england-trend,797.2
1845,england-trend,795.1
1846,england-trend,794.4
1847,england-trend,792.9
1848,england-trend,792.6
1849,england-trend,790
1850,england-trend,786.7
1851,england-trend,784.7
1852,england-trend,784.4
1853,england-trend,781.7
1854,england-trend,779.1
1855,england-trend,778.7
1856,england-trend,778.4
1857,england-trend,778.9
1858,england-trend,781.3
1859,england-trend,784.8
1860,england-trend,787.3
1861,england-trend,788.8
1862,england-trend,791.5
1863,england-trend,794.6
1864,england-trend,799.2
1865,england-trend,805.5
1866,england-trend,811.6
1867,england-trend,816.4
1868,england-trend,823.4
1869,england-trend,830.3
1870,england-trend,835.7
1871,england-trend,841.7
1872,england-trend,848.4
1873,england-trend,850.7
1874,england-trend,853
1875,england-trend,855.5
1876,england-trend,857.5
1877,england-trend,858.4
1878,england-trend,857.4
1879,england-trend,855.1
1880,england-trend,851.8
1881,england-trend,847.5
1882,england-trend,842.9
1883,england-trend,836.5
1884,england-trend,829.1
1885,england-trend,822.6
1886,england-trend,815.8
1887,england-trend,807.3
1888,england-trend,801.7
1889,england-trend,797
1890,england-trend,792.2
1891,england-trend,787.9
1892,england-trend,783.4
1893,england-trend,780.3
1894,england-trend,778.2
1895,england-trend,776
1896,england-trend,775.1
1897,england-trend,774.6
1898,england-trend,776
1899,england-trend,778.5
1900,england-trend,781.2
1901,england-trend,783.7
1902,england-trend,788.2
1903,england-trend,792.8
1904,england-trend,795.4
1905,england-trend,798.8
1906,england-trend,803.1
1907,england-trend,806.7
1908,england-trend,810.3
1909,england-trend,814.4
