Year,Geography,Value
1893,wales,9.34
1894,wales,8.55
1895,wales,7.74
1896,wales,8.5
1897,wales,8.72
1898,wales,9.16
1899,wales,9.05
1900,wales,8.53
1901,wales,8.27
1902,wales,8.03
1903,wales,8.33
1904,wales,8.22
1905,wales,8.32
1906,wales,8.5
1907,wales,8.15
1908,wales,8.66
1909,wales,7.92
1910,wales,8.51
1911,wales,9.24
1912,wales,8.6
1913,wales,9.07
1914,wales,9.09
1915,wales,8.28
1916,wales,8.42
1917,wales,7.77
1918,wales,8.82
1919,wales,7.78
1920,wales,8.81
1921,wales,9.7
1922,wales,7.96
1923,wales,8.43
1924,wales,8.49
1925,wales,8.45
1926,wales,8.94
1927,wales,8.48
1928,wales,8.8
1929,wales,8.28
1930,wales,8.6
1931,wales,8.28
1932,wales,8.6
1933,wales,8.86
1934,wales,9.07
1935,wales,8.85
1936,wales,8.59
1937,wales,8.71
1938,wales,9.15
1939,wales,8.86
1940,wales,8.4
1941,wales,8.36
1942,wales,8.54
1943,wales,9.17
1944,wales,8.82
1945,wales,9.31
1946,wales,8.55
1947,wales,8.57
1948,wales,9.14
1949,wales,9.78
1950,wales,8.61
1951,wales,8.47
1952,wales,8.38
1953,wales,9.12
1954,wales,8.49
1955,wales,8.63
1956,wales,8.23
1957,wales,9.3
1958,wales,8.66
1959,wales,9.64
1960,wales,8.8
1961,wales,8.95
1962,wales,7.79
1963,wales,7.57
1964,wales,8.56
1965,wales,8.1
1966,wales,8.62
1967,wales,8.71
1968,wales,8.5
1969,wales,8.39
1970,wales,8.69
1971,wales,9.04
1972,wales,8.27
1973,wales,8.81
1974,wales,8.56
1975,wales,9.09
1976,wales,8.9
1977,wales,8.66
1978,wales,8.55
1979,wales,7.86
1980,wales,8.51
1981,wales,8.44
1982,wales,8.96
1983,wales,9.16
1984,wales,8.94
1985,wales,8.08
1986,wales,7.88
1987,wales,8.27
1988,wales,9
1989,wales,9.58
1990,wales,9.76
1991,wales,8.7
1992,wales,8.98
1993,wales,8.64
1994,wales,9.27
1995,wales,9.66
1996,wales,8.39
1997,wales,9.69
1998,wales,9.53
1999,wales,9.75
2000,wales,9.36
2001,wales,9.08
2002,wales,9.63
2003,wales,9.61
2004,wales,9.66
2005,wales,9.7
2006,wales,9.93
2007,wales,9.85
2008,wales,9.29
2009,wales,9.28
2010,wales,8.12
2011,wales,9.89
2012,wales,9.08
2013,wales,8.98
2014,wales,10.09
2015,wales,9.47
2016,wales,9.62
2017,wales,9.88
2018,wales,9.71
2019,wales,9.67
2020,wales,9.92
2021,wales,9.63
1884,scotland,7.05
1885,scotland,5.96
1886,scotland,5.94
1887,scotland,6.58
1888,scotland,6.18
1889,scotland,7.04
1890,scotland,6.97
1891,scotland,6.55
1892,scotland,5.7
1893,scotland,7.43
1894,scotland,6.96
1895,scotland,6.2
1896,scotland,7.07
1897,scotland,6.8
1898,scotland,7.55
1899,scotland,7.1
1900,scotland,6.84
1901,scotland,7.01
1902,scotland,6.43
1903,scotland,6.6
1904,scotland,6.81
1905,scotland,7.19
1906,scotland,7
1907,scotland,6.63
1908,scotland,7.28
1909,scotland,6.32
1910,scotland,6.79
1911,scotland,7.38
1912,scotland,6.78
1913,scotland,7.24
1914,scotland,7.35
1915,scotland,6.46
1916,scotland,6.89
1917,scotland,6.36
1918,scotland,6.91
1919,scotland,6.15
1920,scotland,7.22
1921,scotland,7.69
1922,scotland,6.39
1923,scotland,6.62
1924,scotland,6.97
1925,scotland,6.86
1926,scotland,7.28
1927,scotland,6.73
1928,scotland,6.91
1929,scotland,6.74
1930,scotland,6.93
1931,scotland,6.86
1932,scotland,7.22
1933,scotland,7.77
1934,scotland,7.66
1935,scotland,7.11
1936,scotland,7.1
1937,scotland,6.95
1938,scotland,7.68
1939,scotland,7.36
1940,scotland,6.83
1941,scotland,6.68
1942,scotland,6.78
1943,scotland,7.54
1944,scotland,7.17
1945,scotland,7.89
1946,scotland,7.14
1947,scotland,6.96
1948,scotland,7.46
1949,scotland,7.91
1950,scotland,6.92
1951,scotland,6.72
1952,scotland,6.56
1953,scotland,7.89
1954,scotland,6.83
1955,scotland,6.98
1956,scotland,6.84
1957,scotland,7.46
1958,scotland,6.88
1959,scotland,7.86
1960,scotland,7.24
1961,scotland,7.21
1962,scotland,6.52
1963,scotland,6.37
1964,scotland,7.13
1965,scotland,6.42
1966,scotland,6.68
1967,scotland,7.18
1968,scotland,6.79
1969,scotland,6.8
1970,scotland,6.87
1971,scotland,7.63
1972,scotland,6.93
1973,scotland,7.04
1974,scotland,7.17
1975,scotland,7.47
1976,scotland,7.43
1977,scotland,6.91
1978,scotland,6.94
1979,scotland,6.18
1980,scotland,7.04
1981,scotland,6.73
1982,scotland,7.27
1983,scotland,7.4
1984,scotland,7.3
1985,scotland,6.44
1986,scotland,6.42
1987,scotland,6.65
1988,scotland,7.49
1989,scotland,7.58
1990,scotland,7.79
1991,scotland,7.37
1992,scotland,7.28
1993,scotland,6.87
1994,scotland,7.22
1995,scotland,7.51
1996,scotland,7.03
1997,scotland,8.09
1998,scotland,7.67
1999,scotland,7.8
2000,scotland,7.67
2001,scotland,7.32
2002,scotland,7.98
2003,scotland,8.18
2004,scotland,8.09
2005,scotland,8.06
2006,scotland,8.2
2007,scotland,8.16
2008,scotland,7.64
2009,scotland,7.8
2010,scotland,6.51
2011,scotland,8.02
2012,scotland,7.29
2013,scotland,7.49
2014,scotland,8.43
2015,scotland,7.56
2016,scotland,7.8
2017,scotland,8.01
2018,scotland,7.77
2019,scotland,7.93
2020,scotland,8.02
2021,scotland,7.84
1884,northern-ireland,8.7
1885,northern-ireland,7.81
1886,northern-ireland,7.79
1887,northern-ireland,8.32
1888,northern-ireland,8
1889,northern-ireland,8.67
1890,northern-ireland,8.69
1891,northern-ireland,8.28
1892,northern-ireland,7.47
1893,northern-ireland,9.3
1894,northern-ireland,8.5
1895,northern-ireland,7.85
1896,northern-ireland,8.61
1897,northern-ireland,8.53
1898,northern-ireland,9.23
1899,northern-ireland,8.96
1900,northern-ireland,8.4
1901,northern-ireland,8.28
1902,northern-ireland,8.09
1903,northern-ireland,8.18
1904,northern-ireland,8.16
1905,northern-ireland,8.49
1906,northern-ireland,8.31
1907,northern-ireland,7.78
1908,northern-ireland,8.4
1909,northern-ireland,7.6
1910,northern-ireland,8.07
1911,northern-ireland,8.51
1912,northern-ireland,8.08
1913,northern-ireland,8.36
1914,northern-ireland,8.56
1915,northern-ireland,7.82
1916,northern-ireland,8.19
1917,northern-ireland,7.83
1918,northern-ireland,8.4
1919,northern-ireland,7.66
1920,northern-ireland,8.39
1921,northern-ireland,9.4
1922,northern-ireland,7.88
1923,northern-ireland,8.13
1924,northern-ireland,8.34
1925,northern-ireland,8.29
1926,northern-ireland,8.74
1927,northern-ireland,8.34
1928,northern-ireland,8.38
1929,northern-ireland,8.32
1930,northern-ireland,8.14
1931,northern-ireland,8.23
1932,northern-ireland,8.49
1933,northern-ireland,8.89
1934,northern-ireland,8.82
1935,northern-ireland,8.44
1936,northern-ireland,8.26
1937,northern-ireland,8.24
1938,northern-ireland,8.9
1939,northern-ireland,8.7
1940,northern-ireland,8.38
1941,northern-ireland,8.25
1942,northern-ireland,8.46
1943,northern-ireland,9.17
1944,northern-ireland,8.83
1945,northern-ireland,9.45
1946,northern-ireland,8.52
1947,northern-ireland,8.53
1948,northern-ireland,8.99
1949,northern-ireland,9.55
1950,northern-ireland,8.42
1951,northern-ireland,8.24
1952,northern-ireland,8.29
1953,northern-ireland,9.2
1954,northern-ireland,8.41
1955,northern-ireland,8.62
1956,northern-ireland,8.45
1957,northern-ireland,8.91
1958,northern-ireland,8.58
1959,northern-ireland,9.3
1960,northern-ireland,8.68
1961,northern-ireland,8.69
1962,northern-ireland,7.96
1963,northern-ireland,7.79
1964,northern-ireland,8.65
1965,northern-ireland,7.91
1966,northern-ireland,8.4
1967,northern-ireland,8.47
1968,northern-ireland,8.4
1969,northern-ireland,8.13
1970,northern-ireland,8.47
1971,northern-ireland,8.99
1972,northern-ireland,8.08
1973,northern-ireland,8.64
1974,northern-ireland,8.34
1975,northern-ireland,8.97
1976,northern-ireland,8.72
1977,northern-ireland,8.35
1978,northern-ireland,8.51
1979,northern-ireland,7.63
1980,northern-ireland,8.47
1981,northern-ireland,8.36
1982,northern-ireland,8.62
1983,northern-ireland,9.03
1984,northern-ireland,8.55
1985,northern-ireland,7.94
1986,northern-ireland,7.72
1987,northern-ireland,8.24
1988,northern-ireland,8.82
1989,northern-ireland,9.1
1990,northern-ireland,9.17
1991,northern-ireland,8.74
1992,northern-ireland,8.68
1993,northern-ireland,8.45
1994,northern-ireland,8.72
1995,northern-ireland,9.35
1996,northern-ireland,8.45
1997,northern-ireland,9.53
1998,northern-ireland,9.32
1999,northern-ireland,9.32
2000,northern-ireland,9.02
2001,northern-ireland,8.9
2002,northern-ireland,9.39
2003,northern-ireland,9.39
2004,northern-ireland,9.43
2005,northern-ireland,9.57
2006,northern-ireland,9.63
2007,northern-ireland,9.77
2008,northern-ireland,9.05
2009,northern-ireland,9.07
2010,northern-ireland,7.95
2011,northern-ireland,9.36
2012,northern-ireland,8.91
2013,northern-ireland,8.98
2014,northern-ireland,9.58
2015,northern-ireland,8.82
2016,northern-ireland,9.32
2017,northern-ireland,9.48
2018,northern-ireland,9.18
2019,northern-ireland,9.35
2020,northern-ireland,9.28
2021,northern-ireland,9.55
1884,uk-trend,7.77
1885,uk-trend,7.77
1886,uk-trend,7.78
1887,uk-trend,7.79
1888,uk-trend,7.81
1889,uk-trend,7.84
1890,uk-trend,7.87
1891,uk-trend,7.89
1892,uk-trend,7.92
1893,uk-trend,7.95
1894,uk-trend,7.98
1895,uk-trend,8.01
1896,uk-trend,8.03
1897,uk-trend,8.06
1898,uk-trend,8.08
1899,uk-trend,8.1
1900,uk-trend,8.11
1901,uk-trend,8.13
1902,uk-trend,8.13
1903,uk-trend,8.14
1904,uk-trend,8.15
1905,uk-trend,8.15
1906,uk-trend,8.15
1907,uk-trend,8.16
1908,uk-trend,8.15
1909,uk-trend,8.15
1910,uk-trend,8.16
1911,uk-trend,8.16
1912,uk-trend,8.16
1913,uk-trend,8.16
1914,uk-trend,8.16
1915,uk-trend,8.16
1916,uk-trend,8.16
1917,uk-trend,8.16
1918,uk-trend,8.17
1919,uk-trend,8.17
1920,uk-trend,8.18
1921,uk-trend,8.2
1922,uk-trend,8.2
1923,uk-trend,8.21
1924,uk-trend,8.23
1925,uk-trend,8.24
1926,uk-trend,8.25
1927,uk-trend,8.26
1928,uk-trend,8.27
1929,uk-trend,8.29
1930,uk-trend,8.31
1931,uk-trend,8.33
1932,uk-trend,8.35
1933,uk-trend,8.37
1934,uk-trend,8.39
1935,uk-trend,8.4
1936,uk-trend,8.42
1937,uk-trend,8.43
1938,uk-trend,8.44
1939,uk-trend,8.45
1940,uk-trend,8.45
1941,uk-trend,8.46
1942,uk-trend,8.47
1943,uk-trend,8.48
1944,uk-trend,8.48
1945,uk-trend,8.49
1946,uk-trend,8.49
1947,uk-trend,8.49
1948,uk-trend,8.49
1949,uk-trend,8.48
1950,uk-trend,8.47
1951,uk-trend,8.45
1952,uk-trend,8.43
1953,uk-trend,8.42
1954,uk-trend,8.4
1955,uk-trend,8.39
1956,uk-trend,8.38
1957,uk-trend,8.36
1958,uk-trend,8.35
1959,uk-trend,8.33
1960,uk-trend,8.31
1961,uk-trend,8.29
1962,uk-trend,8.28
1963,uk-trend,8.26
1964,uk-trend,8.26
1965,uk-trend,8.26
1966,uk-trend,8.26
1967,uk-trend,8.27
1968,uk-trend,8.27
1969,uk-trend,8.28
1970,uk-trend,8.29
1971,uk-trend,8.3
1972,uk-trend,8.3
1973,uk-trend,8.3
1974,uk-trend,8.3
1975,uk-trend,8.31
1976,uk-trend,8.32
1977,uk-trend,8.33
1978,uk-trend,8.34
1979,uk-trend,8.35
1980,uk-trend,8.36
1981,uk-trend,8.38
1982,uk-trend,8.4
1983,uk-trend,8.42
1984,uk-trend,8.44
1985,uk-trend,8.46
1986,uk-trend,8.49
1987,uk-trend,8.52
1988,uk-trend,8.57
1989,uk-trend,8.62
1990,uk-trend,8.66
1991,uk-trend,8.7
1992,uk-trend,8.75
1993,uk-trend,8.8
1994,uk-trend,8.85
1995,uk-trend,8.9
1996,uk-trend,8.94
1997,uk-trend,8.98
1998,uk-trend,9.02
1999,uk-trend,9.05
2000,uk-trend,9.09
2001,uk-trend,9.12
2002,uk-trend,9.14
2003,uk-trend,9.16
2004,uk-trend,9.17
2005,uk-trend,9.19
2006,uk-trend,9.2
2007,uk-trend,9.21
2008,uk-trend,9.21
2009,uk-trend,9.22
2010,uk-trend,9.22
2011,uk-trend,9.23
2012,uk-trend,9.24
2013,uk-trend,9.26
2014,uk-trend,9.27
2015,uk-trend,9.29
2016,uk-trend,9.3
2017,uk-trend,9.31
2018,uk-trend,9.32
2019,uk-trend,9.32
2020,uk-trend,9.32
2021,uk-trend,9.31
1884,england-trend,8.4
1885,england-trend,8.4
1886,england-trend,8.41
1887,england-trend,8.43
1888,england-trend,8.44
1889,england-trend,8.47
1890,england-trend,8.5
1891,england-trend,8.53
1892,england-trend,8.56
1893,england-trend,8.6
1894,england-trend,8.64
1895,england-trend,8.66
1896,england-trend,8.69
1897,england-trend,8.72
1898,england-trend,8.74
1899,england-trend,8.76
1900,england-trend,8.78
1901,england-trend,8.8
1902,england-trend,8.81
1903,england-trend,8.82
1904,england-trend,8.83
1905,england-trend,8.84
1906,england-trend,8.84
1907,england-trend,8.85
1908,england-trend,8.85
1909,england-trend,8.85
1910,england-trend,8.86
1911,england-trend,8.87
1912,england-trend,8.87
1913,england-trend,8.87
1914,england-trend,8.87
1915,england-trend,8.87
1916,england-trend,8.87
1917,england-trend,8.87
1918,england-trend,8.87
1919,england-trend,8.88
1920,england-trend,8.89
1921,england-trend,8.91
1922,england-trend,8.91
1923,england-trend,8.92
1924,england-trend,8.93
1925,england-trend,8.94
1926,england-trend,8.95
1927,england-trend,8.96
1928,england-trend,8.97
1929,england-trend,8.98
1930,england-trend,9
1931,england-trend,9.02
1932,england-trend,9.04
1933,england-trend,9.06
1934,england-trend,9.08
1935,england-trend,9.09
1936,england-trend,9.1
1937,england-trend,9.12
1938,england-trend,9.13
1939,england-trend,9.14
1940,england-trend,9.14
1941,england-trend,9.15
1942,england-trend,9.16
1943,england-trend,9.17
1944,england-trend,9.18
1945,england-trend,9.19
1946,england-trend,9.19
1947,england-trend,9.19
1948,england-trend,9.19
1949,england-trend,9.18
1950,england-trend,9.16
1951,england-trend,9.14
1952,england-trend,9.13
1953,england-trend,9.11
1954,england-trend,9.1
1955,england-trend,9.08
1956,england-trend,9.07
1957,england-trend,9.06
1958,england-trend,9.04
1959,england-trend,9.03
1960,england-trend,9.01
1961,england-trend,8.99
1962,england-trend,8.97
1963,england-trend,8.96
1964,england-trend,8.96
1965,england-trend,8.96
1966,england-trend,8.97
1967,england-trend,8.97
1968,england-trend,8.98
1969,england-trend,8.99
1970,england-trend,9
1971,england-trend,9.01
1972,england-trend,9.01
1973,england-trend,9.01
1974,england-trend,9.02
1975,england-trend,9.03
1976,england-trend,9.05
1977,england-trend,9.06
1978,england-trend,9.07
1979,england-trend,9.08
1980,england-trend,9.1
1981,england-trend,9.12
1982,england-trend,9.15
1983,england-trend,9.17
1984,england-trend,9.19
1985,england-trend,9.22
1986,england-trend,9.25
1987,england-trend,9.29
1988,england-trend,9.34
1989,england-trend,9.4
1990,england-trend,9.45
1991,england-trend,9.49
1992,england-trend,9.54
1993,england-trend,9.59
1994,england-trend,9.65
1995,england-trend,9.7
1996,england-trend,9.74
1997,england-trend,9.78
1998,england-trend,9.82
1999,england-trend,9.86
2000,england-trend,9.89
2001,england-trend,9.92
2002,england-trend,9.95
2003,england-trend,9.97
2004,england-trend,9.98
2005,england-trend,10
2006,england-trend,10.02
2007,england-trend,10.03
2008,england-trend,10.03
2009,england-trend,10.04
2010,england-trend,10.04
2011,england-trend,10.06
2012,england-trend,10.08
2013,england-trend,10.09
2014,england-trend,10.11
2015,england-trend,10.14
2016,england-trend,10.15
2017,england-trend,10.16
2018,england-trend,10.17
2019,england-trend,10.18
2020,england-trend,10.18
2021,england-trend,10.18
1884,wales-trend,8.02
1885,wales-trend,8.02
1886,wales-trend,8.04
1887,wales-trend,8.05
1888,wales-trend,8.07
1889,wales-trend,8.1
1890,wales-trend,8.14
1891,wales-trend,8.17
1892,wales-trend,8.2
1893,wales-trend,8.25
1894,wales-trend,8.28
1895,wales-trend,8.3
1896,wales-trend,8.33
1897,wales-trend,8.36
1898,wales-trend,8.38
1899,wales-trend,8.4
1900,wales-trend,8.42
1901,wales-trend,8.44
1902,wales-trend,8.45
1903,wales-trend,8.46
1904,wales-trend,8.47
1905,wales-trend,8.47
1906,wales-trend,8.48
1907,wales-trend,8.49
1908,wales-trend,8.49
1909,wales-trend,8.5
1910,wales-trend,8.51
1911,wales-trend,8.52
1912,wales-trend,8.53
1913,wales-trend,8.53
1914,wales-trend,8.54
1915,wales-trend,8.54
1916,wales-trend,8.54
1917,wales-trend,8.54
1918,wales-trend,8.54
1919,wales-trend,8.55
1920,wales-trend,8.56
1921,wales-trend,8.57
1922,wales-trend,8.57
1923,wales-trend,8.57
1924,wales-trend,8.58
1925,wales-trend,8.59
1926,wales-trend,8.59
1927,wales-trend,8.6
1928,wales-trend,8.61
1929,wales-trend,8.62
1930,wales-trend,8.63
1931,wales-trend,8.65
1932,wales-trend,8.67
1933,wales-trend,8.68
1934,wales-trend,8.7
1935,wales-trend,8.71
1936,wales-trend,8.72
1937,wales-trend,8.74
1938,wales-trend,8.75
1939,wales-trend,8.76
1940,wales-trend,8.77
1941,wales-trend,8.77
1942,wales-trend,8.78
1943,wales-trend,8.79
1944,wales-trend,8.8
1945,wales-trend,8.81
1946,wales-trend,8.81
1947,wales-trend,8.82
1948,wales-trend,8.82
1949,wales-trend,8.81
1950,wales-trend,8.8
1951,wales-trend,8.78
1952,wales-trend,8.76
1953,wales-trend,8.75
1954,wales-trend,8.73
1955,wales-trend,8.72
1956,wales-trend,8.7
1957,wales-trend,8.69
1958,wales-trend,8.67
1959,wales-trend,8.66
1960,wales-trend,8.63
1961,wales-trend,8.61
1962,wales-trend,8.59
1963,wales-trend,8.57
1964,wales-trend,8.57
1965,wales-trend,8.57
1966,wales-trend,8.57
1967,wales-trend,8.57
1968,wales-trend,8.57
1969,wales-trend,8.58
1970,wales-trend,8.58
1971,wales-trend,8.59
1972,wales-trend,8.59
1973,wales-trend,8.59
1974,wales-trend,8.59
1975,wales-trend,8.6
1976,wales-trend,8.62
1977,wales-trend,8.63
1978,wales-trend,8.64
1979,wales-trend,8.64
1980,wales-trend,8.66
1981,wales-trend,8.68
1982,wales-trend,8.7
1983,wales-trend,8.72
1984,wales-trend,8.74
1985,wales-trend,8.76
1986,wales-trend,8.79
1987,wales-trend,8.83
1988,wales-trend,8.87
1989,wales-trend,8.92
1990,wales-trend,8.97
1991,wales-trend,9.01
1992,wales-trend,9.05
1993,wales-trend,9.1
1994,wales-trend,9.15
1995,wales-trend,9.2
1996,wales-trend,9.23
1997,wales-trend,9.27
1998,wales-trend,9.31
1999,wales-trend,9.34
2000,wales-trend,9.37
2001,wales-trend,9.39
2002,wales-trend,9.41
2003,wales-trend,9.42
2004,wales-trend,9.44
2005,wales-trend,9.45
2006,wales-trend,9.46
2007,wales-trend,9.47
2008,wales-trend,9.47
2009,wales-trend,9.48
2010,wales-trend,9.48
2011,wales-trend,9.5
2012,wales-trend,9.51
2013,wales-trend,9.52
2014,wales-trend,9.54
2015,wales-trend,9.56
2016,wales-trend,9.58
2017,wales-trend,9.59
2018,wales-trend,9.6
2019,wales-trend,9.61
2020,wales-trend,9.61
2021,wales-trend,9.6
1884,scotland-trend,6.54
1885,scotland-trend,6.54
1886,scotland-trend,6.55
1887,scotland-trend,6.57
1888,scotland-trend,6.59
1889,scotland-trend,6.61
1890,scotland-trend,6.63
1891,scotland-trend,6.65
1892,scotland-trend,6.67
1893,scotland-trend,6.7
1894,scotland-trend,6.73
1895,scotland-trend,6.75
1896,scotland-trend,6.78
1897,scotland-trend,6.8
1898,scotland-trend,6.82
1899,scotland-trend,6.84
1900,scotland-trend,6.85
1901,scotland-trend,6.86
1902,scotland-trend,6.87
1903,scotland-trend,6.87
1904,scotland-trend,6.88
1905,scotland-trend,6.88
1906,scotland-trend,6.89
1907,scotland-trend,6.89
1908,scotland-trend,6.89
1909,scotland-trend,6.88
1910,scotland-trend,6.88
1911,scotland-trend,6.88
1912,scotland-trend,6.88
1913,scotland-trend,6.88
1914,scotland-trend,6.88
1915,scotland-trend,6.87
1916,scotland-trend,6.87
1917,scotland-trend,6.86
1918,scotland-trend,6.86
1919,scotland-trend,6.87
1920,scotland-trend,6.88
1921,scotland-trend,6.9
1922,scotland-trend,6.9
1923,scotland-trend,6.91
1924,scotland-trend,6.93
1925,scotland-trend,6.95
1926,scotland-trend,6.97
1927,scotland-trend,6.98
1928,scotland-trend,7
1929,scotland-trend,7.02
1930,scotland-trend,7.04
1931,scotland-trend,7.07
1932,scotland-trend,7.1
1933,scotland-trend,7.12
1934,scotland-trend,7.14
1935,scotland-trend,7.15
1936,scotland-trend,7.16
1937,scotland-trend,7.17
1938,scotland-trend,7.18
1939,scotland-trend,7.19
1940,scotland-trend,7.19
1941,scotland-trend,7.19
1942,scotland-trend,7.19
1943,scotland-trend,7.2
1944,scotland-trend,7.2
1945,scotland-trend,7.21
1946,scotland-trend,7.2
1947,scotland-trend,7.2
1948,scotland-trend,7.19
1949,scotland-trend,7.18
1950,scotland-trend,7.17
1951,scotland-trend,7.15
1952,scotland-trend,7.14
1953,scotland-trend,7.13
1954,scotland-trend,7.11
1955,scotland-trend,7.1
1956,scotland-trend,7.09
1957,scotland-trend,7.07
1958,scotland-trend,7.06
1959,scotland-trend,7.05
1960,scotland-trend,7.03
1961,scotland-trend,7.01
1962,scotland-trend,7
1963,scotland-trend,6.99
1964,scotland-trend,6.98
1965,scotland-trend,6.98
1966,scotland-trend,6.98
1967,scotland-trend,6.98
1968,scotland-trend,6.98
1969,scotland-trend,6.98
1970,scotland-trend,6.99
1971,scotland-trend,7
1972,scotland-trend,7
1973,scotland-trend,7
1974,scotland-trend,7
1975,scotland-trend,7
1976,scotland-trend,7.01
